Frame,Number of Regions
frame_000001.png,8025
frame_000002.png,7845
frame_000003.png,7163
frame_000004.png,8109
frame_000005.png,8149
frame_000006.png,8446
frame_000007.png,7121
frame_000008.png,6562
frame_000009.png,8270
frame_000010.png,8171
frame_000011.png,8155
frame_000012.png,8989
frame_000013.png,8602
frame_000014.png,9211
frame_000015.png,8369
frame_000016.png,7915
frame_000017.png,6906
frame_000018.png,6512
frame_000019.png,6082
frame_000020.png,6173
frame_000021.png,7610
frame_000022.png,6147
frame_000023.png,6457
frame_000024.png,1279
frame_000025.png,3935
frame_000026.png,5241
frame_000027.png,4296
frame_000028.png,3781
frame_000029.png,4300
frame_000030.png,6203
